"Selon l'OTAN (NWCC 2021), quel espace est désormais formellement désigné comme le ""sixième domaine"" de la guerre ?",Le domaine cognitif (ou humain).
Quelle est la distinction majeure entre les opérations psychologiques (PSYOPS) classiques et la guerre cognitive ?,"Les PSYOPS visent ce que l'on pense (contenu), tandis que la guerre cognitive vise la façon dont on pense (processus)."
"Dans le ""triptyque de l'influence"", quel est le rôle spécifique des neurosciences ?",Cartographier les mécanismes biochimiques de la décision pour court-circuiter le raisonnement via l'amygdale.
Comment l'intelligence artificielle (IA) transforme-t-elle la manipulation des masses selon les sources ?,Elle industrialise le micro-ciblage psychographique et la production massive de médias synthétiques (deepfakes).
Définition : Contrôle Réflexif (doctrine russe),"Technique consistant à transmettre des informations calibrées pour qu'un adversaire prenne, de son plein gré, une décision prédéterminée par l'agresseur."
"Quel est l'objectif central de la doctrine chinoise de la ""domination algorithmique"" ?",Gagner la guerre avant le premier engagement cinétique en reconfigurant les matrices de sens des populations adverses.
"Dans le modèle épidémiologique SIR appliqué à la désinformation, que représente le paramètre $R_0$ ?",Le nombre de reproduction de base déterminant si une rumeur s'éteindra ou infectera de manière exponentielle le corps social.
L'application de l'attracteur de Lorenz à la guerre cognitive suggère qu'une manipulation légère de la vélocité de l'information ($\sigma$) peut provoquer _____.,Un effondrement systémique ou une instabilité imprévisible de la société.
Que signifie l'acronyme de la boucle décisionnelle OODA ?,"Observation, Orientation, Décision, Action."
Concept : Extensibilité Gracieuse (Graceful Extensibility),Capacité d'un système décisionnel à étendre ses capacités de réponse sous pression extrême sans s'effondrer.
Quel organe cérébral est considéré comme le siège des émotions et la cible privilégiée pour court-circuiter le cortex préfrontal ?,L'amygdale.
Quelle théorie économique de George Akerlof est utilisée pour expliquer l'asymétrie d'information initiale ?,"Le marché des ""tacots"" (Market for Lemons)."
"Selon Shoshana Zuboff, comment se définit le ""capitalisme de surveillance"" ?",Un modèle revendiquant l'expérience humaine privée comme matière première gratuite pour des produits de prédiction.
"Qu'est-ce que le ""surplus comportemental"" dans l'économie des plateformes ?","L'agrégat de données (hésitations, clics, émotions) utilisé pour modéliser et modifier activement le comportement des utilisateurs."
"Quelle est la caractéristique principale du ""techno-féodalisme"" ?",Le remplacement des marchés par des fiefs numériques où les entreprises sont des vassaux et les utilisateurs des serfs générant de la donnée.
"Quel pays a servi d'exemple de ""colonialisme de la donnée"" via un accord sur la reconnaissance faciale avec l'entreprise CloudWalk ?",Le Zimbabwe.
"Selon Susan Strange, qu'est-ce que le ""pouvoir structurel"" ?","La capacité de définir le cadre normatif et matériel (sécurité, finance, production, savoir) dans lequel les autres acteurs opèrent."
"En France, quelle agence est spécifiquement chargée de détecter les Ingérences Numériques Étrangères (INE) ?",VIGINUM.
"Quelle est la différence entre le ""prebunking"" (inoculation cognitive) et le ""fact-checking"" ?","Le prebunking prévient la manipulation en exposant les techniques à l'avance, alors que le fact-checking intervient après la diffusion du mensonge."
Concept : Prime au menteur (Liar's Dividend),Phénomène où l'existence de l'IA permet à un coupable de nier une preuve authentique en prétendant qu'il s'agit d'un deepfake.
"Quel pays est le pionnier mondial dans l'inscription des ""neurodroits"" au sein de sa constitution ?",Le Chili.
Quel rapport de 2024 a redéfini la sécurité de l'UE comme une responsabilité partagée par l'ensemble de la société ?,Le rapport Niinistö.
"La tactique russe de la ""Maskirovka"" désigne un état d'esprit permanent fondé sur _____.","La déception, le camouflage et la dissimulation des intentions réelles."
"Qu'est-ce que la ""Narrative Kill Chain"" identifiée par Sensity AI ?",Une séquence modulaire de payloads basés sur des deepfakes conçus pour produire des effets cognitifs prévisibles.
Définition : Lawfare,L'instrumentalisation du droit international pour restreindre la liberté d'action d'un adversaire ou protéger ses propres opérations hybrides.
Quel concept d'Yves Citton décrit un régime où les médias structurent la vie politique en gouvernant l'attention ?,La médiarchie.
"Selon Joseph Nye, qu'est-ce que le ""Soft Power"" ?","La capacité d'un pays à influencer les autres par l'attrait de sa culture, de ses valeurs et de ses politiques plutôt que par la force."
"Dans le cadre de la cyber-résilience, l'objectif d'autosuffisance promu pour les citoyens européens est de _____.",72 heures.
"Qu'est-ce que la ""lance à incendie du mensonge"" (Fire hose of falsehood) ?",Une tactique saturant l'espace médiatique de versions contradictoires pour détruire la capacité du public à distinguer le vrai du faux.
Quel est l'impact tactique recherché par la saturation de la boucle OODA de l'adversaire ?,Provoquer une paralysie analytique et une incapacité à prendre des décisions rationnelles en temps utile.
"Le modèle psychométrique ""OCÉAN"" évalue la personnalité selon l'ouverture, la conscienciosité, l'extraversion, l'agréabilité et _____.",Le névrosisme.
Quel dispositif américain de 2026 vise à sécuriser l'approvisionnement en minéraux critiques face aux restrictions étrangères ?,Le Project Vault.
Quels sont les trois piliers de l'immunisation mentale préconisés face à la menace cognitive ?,"Éducation aux biais, extensibilité gracieuse et adaptabilité soutenue."
Quelle opération russe consistait à cloner des sites de presse occidentaux (typosquatting) pour diffuser de la propagande ?,L'opération Doppelgänger (ou Storm-1099).
"Quelle est la cible finale de l'""encerclement cognitif"" selon l'école de guerre économique française ?","La société civile, utilisée pour paralyser son propre État ou ses industries souveraines."
La technique TDCS (Stimulation Transcrânienne à Courant Continu) est étudiée en neurostratégie pour _____.,"Modifier l'activité cérébrale afin d'induire de la fatigue, de la peur ou d'altérer la concentration à distance."
"Qu'est-ce que le ""chaos épistémique"" ?","Un état où la saturation d'informations contradictoires rend impossible l'établissement d'une vérité commune, paralysant la démocratie."
"Pourquoi le droit international classique (Article 2, paragraphe 4 de la Charte des Nations Unies) peine-t-il à réguler la guerre cognitive ?",Il ne reconnaît que la force cinétique (physique) et non la violence immatérielle ou neurobiologique.
"Quel est le risque du ""paradoxe démocratique"" dans la défense contre la guerre hybride ?",Que l'État finisse par adopter les méthodes de censure et de contrôle de ses assaillants pour protéger la population.
L'incident de Vilnius en 2026 illustre qu'une attaque cognitive produit ses effets _____.,Bien avant et bien après tout engagement physique (durée prolongée du chaos numérique).
Quelle technologie permettrait théoriquement de détourner des données neurales pour manipuler le stress d'un individu en temps réel ?,L'interface cerveau-machine (BCI).
Quelle est la différence entre l'aléa moral et la sélection adverse en microéconomie ?,"La sélection adverse survient avant le contrat (dissimulation), l'aléa moral survient après (comportement opportuniste)."
"Dans le contexte géo-économique, quels éléments la Chine utilise-t-elle comme leviers de pression (chokepoints) ?","Les terres rares (lithium, cobalt, gallium, germanium)."
Quel concept sociologique d'Israelene explique le repli sur l'identité intragroupe et la haine de l'exogroupe ?,La polarisation affective.
"En 2026, quel est le taux d'erreur visé pour la précision de la parole via les interfaces BCI optimisées par l'IA ?",Moins de $5\%$.
La stratégie de l'UE pour contrer les FIMI se concentre sur le comportement _____ plutôt que sur le contenu des messages.,Inauthentique coordonné.
Concept : Neuro-arme (Neurostrike),Arme à énergie dirigée utilisant des ondes pour altérer le système nerveux central ou provoquer une panique physiologique.
"Quel est l'objectif des ""économies d'action"" selon Shoshana Zuboff ?",Passer de la simple surveillance à la modification active du comportement humain via des déclencheurs numériques.
"Quelle est la fonction du ""Signal d'Erreur"" neurologique dans une attaque cognitive ?",Instiller un doute diffus ou saturer le cerveau pour forcer une réponse émotionnelle impulsive pilotée par l'amygdale.
"Comment se définit la ""souveraineté numérique"" pour une nation ?","La capacité à posséder ses propres infrastructures physiques (cloud, semi-conducteurs) et à réguler son espace informationnel."
"Qu'est-ce que l'""astroturfing"" ?",L'utilisation de faux comptes ou bots pour créer l'illusion d'un mouvement de masse ou d'un consensus populaire organique.
"Le concept de ""rhinocéros gris"" en stratégie désigne _____.","Une menace évidente et très probable qui est ignorée jusqu'à l'impact (par opposition au ""cygne noir"")."
Quel type de pouvoirSusan Strange associe-t-elle à la structure du savoir (knowledge structure) ?,Le pouvoir structurel.
"Dans la guerre hybride, quel est le rôle des ""proxies"" ?","Agir comme des mandataires (groupes criminels, mercenaires) pour permettre à un État de bénéficier d'un déni plausible."
"Quelle est la finalité du ""Bouclier de la Démocratie Européenne"" (EDS) ?",Protéger l'intégrité de l'espace informationnel et détecter les menaces de manipulation étrangère (FIMI).
Pourquoi l'attribution d'une attaque hybride est-elle structurellement difficile ?,"À cause de l'utilisation d'acteurs non étatiques et de la dissimulation technique (VPN, cryptomonnaies)."
"Quel est le but de l'opération ""Matriochka"" ?",Épuiser les vérificateurs de faits occidentaux en les inondant de requêtes absurdes pour masquer des campagnes réelles.
"L'expression ""Gagner la guerre avant la guerre"" est associée à quel philosophe militaire ancien cité par l'OTAN ?",Sun Tzu.
Quel droit fondamental les experts proposent-ils pour protéger l'individu contre la lecture ou la modification de ses données cérébrales ?,La confidentialité mentale (ou vie privée mentale).
La transition du contrôle de l'input au contrôle du _____ marque l'avènement de la guerre cognitive.,Processing (traitement de l'information).
